,Name,ID
123,Janine Johnson,https://openalex.org/A5066986793
124,S. Ivanov,https://openalex.org/A5067277387
125,Xuetian Ma,https://openalex.org/A5067852119
126,Sham Navathe,https://openalex.org/A5068674114
127,Andrew Coffey,https://openalex.org/A5068813837
128,R. Richard Plaskon,https://openalex.org/A5069043008
129,William M. Parks,https://openalex.org/A5069437930
130,Bounghun Bock,https://openalex.org/A5069625829
131,Benay Sager,https://openalex.org/A5070203038
132,Joseph W. Monaco,https://openalex.org/A5070240639
133,Sujay Pandey,https://openalex.org/A5070763111
134,A. Venkatachalam,https://openalex.org/A5070765906
135,Colin A. Thomas,https://openalex.org/A5071044870
136,M. Shel Swenson,https://openalex.org/A5071591057
137,Carol Carmichael,https://openalex.org/A5071838405
138,H. Tai,https://openalex.org/A5072140541
139,Charlsie Lemons,https://openalex.org/A5072473347
140,Arnaud Bistoquet,https://openalex.org/A5073065470
141,C. Mathalai Sundaram,https://openalex.org/A5073708444
142,Songru Jia,https://openalex.org/A5073982378
143,Samaneh Ebrahimi,https://openalex.org/A5074370848
144,Jill Fantauzzacoffin,https://openalex.org/A5074430971
145,Mohamed S. Ben Romdhane,https://openalex.org/A5074737769
146,Steve Nichols,https://openalex.org/A5075053851
147,Jason S. Bach,https://openalex.org/A5075310334
148,Mina Zaki,https://openalex.org/A5077097199
149,Neha Narang,https://openalex.org/A5078329505
150,Sandra Shackelford,https://openalex.org/A5078653948
151,Leyla Conrad,https://openalex.org/A5079238058
152,Bert Willman,https://openalex.org/A5079442341
153,Elaissa Trybus,https://openalex.org/A5079725028
154,Rebecca Douglas,https://openalex.org/A5080644903
155,Kyle R. Krueger,https://openalex.org/A5080894175
156,Daniel F. Haynes,https://openalex.org/A5081029952
157,Chunpeng Xiao,https://openalex.org/A5081447595
158,John J. O'Brien,https://openalex.org/A5081557407
159,Warren F. Gardner,https://openalex.org/A5081737331
160,James Hsu,https://openalex.org/A5081757779
161,Brittany E. Holthausen,https://openalex.org/A5081800205
162,M. E. Ingrim,https://openalex.org/A5082388292
163,Mihai Sipitca,https://openalex.org/A5082672873
164,Samit Soni,https://openalex.org/A5082759365
165,Kipp Jones,https://openalex.org/A5084363429
166,J. W. Dees,https://openalex.org/A5084574333
167,Ehsan Najafabadi,https://openalex.org/A5084684562
168,Zonghao Gu,https://openalex.org/A5085035925
169,D. Lee,https://openalex.org/A5085075089
170,Roberto Gutiérrez López,https://openalex.org/A5085232819
171,Austin M. Leach,https://openalex.org/A5085399373
172,M. Yusuf Ozkaya,https://openalex.org/A5085400686
173,Keunhyoung Park,https://openalex.org/A5085602829
174,Xunchi Chen,https://openalex.org/A5085910951
175,Rodney D. Schluter,https://openalex.org/A5086317985
176,Arashk Norouzpour-Shirazi,https://openalex.org/A5086336475
177,Simeon D. Harbert,https://openalex.org/A5086376107
178,Crystal Bell,https://openalex.org/A5086399099
179,Melissa Tsang,https://openalex.org/A5086620191
180,Takeria Blunt,https://openalex.org/A5086958611
181,T.W. Fischer,https://openalex.org/A5087694951
182,Komahan Boopathy,https://openalex.org/A5087704644
183,Sarah Lombardo,https://openalex.org/A5088072473
184,M.C. Kordecki,https://openalex.org/A5088665325
185,David M. Thierry,https://openalex.org/A5088900555
186,S. Lee,https://openalex.org/A5089446956
