Unnamed: 0,Name,ID,DOI,Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID,index,First_Name_OpenAlex,Last_Name_OpenAlex,First_Name_Scopus,Last_Name_Scopus
75085,Yury O. Chernoff,https://openalex.org/A5052082475,10.3389/fmicb.2022.911091,"Chernoff, Yury O.",7003358651,120,"['Biochemistry, Genetics and Molecular Biology', 'Medicine', 'Chemistry', 'Immunology and Microbiology', 'Agricultural and Biological Sciences', 'Neuroscience', 'Chemical Engineering', 'Pharmacology, Toxicology and Pharmaceutics', 'Multidisciplinary', 'Materials Science', 'Computer Science', 'Earth and Planetary Sciences', 'Environmental Science']",0000-0002-8934-9051,329,Yury O.,Chernoff, Yury O.,Chernoff
75077,Yury O. Chernoff,https://openalex.org/A5052082475,10.1016/bs.adgen.2020.01.002,"Chernoff, Yury O.",7003358651,120,"['Biochemistry, Genetics and Molecular Biology', 'Medicine', 'Chemistry', 'Immunology and Microbiology', 'Agricultural and Biological Sciences', 'Neuroscience', 'Chemical Engineering', 'Pharmacology, Toxicology and Pharmaceutics', 'Multidisciplinary', 'Materials Science', 'Computer Science', 'Earth and Planetary Sciences', 'Environmental Science']",0000-0002-8934-9051,329,Yury O.,Chernoff, Yury O.,Chernoff
23670,Julia Allen,https://openalex.org/A5026659781,10.1007/s11664-021-08954-0,"Allen, Julia",57224638458,1,"['Materials Science', 'Engineering', 'Physics and Astronomy']",0000-0002-1303-0626,12806,Julia,Allen, Julia,Allen
68652,Faisal M. Alamgir,https://openalex.org/A5041107674,10.1021/acsami.1c05989,"Alamgir, Faisal M.",55886941000,90,"['Materials Science', 'Chemistry', 'Physics and Astronomy', 'Energy', 'Engineering', 'Chemical Engineering', 'Environmental Science', 'Biochemistry, Genetics and Molecular Biology', 'Computer Science', 'Medicine', 'Mathematics', 'Earth and Planetary Sciences', 'Multidisciplinary']",0000-0002-0894-8096,478,Faisal M.,Alamgir, Faisal M.,Alamgir
68642,Faisal M. Alamgir,https://openalex.org/A5041107674,10.1016/j.mtener.2020.100410,"Alamgir, Faisal M.",55886941000,90,"['Materials Science', 'Chemistry', 'Physics and Astronomy', 'Energy', 'Engineering', 'Chemical Engineering', 'Environmental Science', 'Biochemistry, Genetics and Molecular Biology', 'Computer Science', 'Medicine', 'Mathematics', 'Earth and Planetary Sciences', 'Multidisciplinary']",0000-0002-0894-8096,478,Faisal M.,Alamgir, Faisal M.,Alamgir
68651,Faisal M. Alamgir,https://openalex.org/A5041107674,10.1016/j.tsf.2020.138437,"Alamgir, Faisal M.",55886941000,90,"['Materials Science', 'Chemistry', 'Physics and Astronomy', 'Energy', 'Engineering', 'Chemical Engineering', 'Environmental Science', 'Biochemistry, Genetics and Molecular Biology', 'Computer Science', 'Medicine', 'Mathematics', 'Earth and Planetary Sciences', 'Multidisciplinary']",0000-0002-0894-8096,478,Faisal M.,Alamgir, Faisal M.,Alamgir
1677,Komahan Boopathy,https://openalex.org/A5087704644,10.2514/6.2017-1671,"Boopathy, Komahan",55848058300,8,"['Engineering', 'Energy', 'Chemical Engineering']",0000-0002-2543-0942,3815,Komahan,Boopathy, Komahan,Boopathy
1681,Komahan Boopathy,https://openalex.org/A5087704644,10.2514/6.2020-1146,"Boopathy, Komahan",55848058300,8,"['Engineering', 'Energy', 'Chemical Engineering']",0000-0002-2543-0942,3815,Komahan,Boopathy, Komahan,Boopathy
1682,Komahan Boopathy,https://openalex.org/A5087704644,10.2514/6.2015-0920,"Boopathy, Komahan",55848058300,8,"['Engineering', 'Energy', 'Chemical Engineering']",0000-0002-2543-0942,3815,Komahan,Boopathy, Komahan,Boopathy
1683,Komahan Boopathy,https://openalex.org/A5087704644,10.2514/6.2014-2595,"Boopathy, Komahan",55848058300,8,"['Engineering', 'Energy', 'Chemical Engineering']",0000-0002-2543-0942,3815,Komahan,Boopathy, Komahan,Boopathy
